dataset,category,model,interpolation,pooling,K,window_size,detection,image_AUROC,pixel_AUPRO
visa,pcb1,spalwinnn,bilinear,False,-1,11,True,0.9426000118255615,0.9031338095664978
visa,pcb2,spalwinnn,bilinear,False,-1,11,True,0.9302999377250671,0.909121036529541
visa,pcb3,spalwinnn,bilinear,False,-1,11,True,0.9587128758430481,0.885266125202179
visa,pcb4,spalwinnn,bilinear,False,-1,11,True,0.9963366389274597,0.8761773109436035
visa,pipe_fryum,spalwinnn,bilinear,False,-1,11,True,0.989799976348877,0.9468327164649963
visa,candle,spalwinnn,bilinear,False,-1,13,True,0.8878499269485474,0.9492781162261963
visa,capsules,spalwinnn,bilinear,False,-1,13,True,0.7418333292007446,0.8461707830429077
visa,cashew,spalwinnn,bilinear,False,-1,13,True,0.9277999401092529,0.8388766646385193
visa,chewinggum,spalwinnn,bilinear,False,-1,13,True,0.9722000360488892,0.6865776181221008
visa,fryum,spalwinnn,bilinear,False,-1,13,True,0.9393999576568604,0.8692646622657776
visa,macaroni1,spalwinnn,bilinear,False,-1,13,True,0.9532999992370605,0.9368420839309692
visa,macaroni2,spalwinnn,bilinear,False,-1,13,True,0.8814000487327576,0.9078359603881836
visa,pcb1,spalwinnn,bilinear,False,-1,13,True,0.9460999965667725,0.8986272215843201
visa,pcb2,spalwinnn,bilinear,False,-1,13,True,0.9330999851226807,0.9078558087348938
visa,pcb3,spalwinnn,bilinear,False,-1,13,True,0.9511881470680237,0.8832906484603882
visa,pcb4,spalwinnn,bilinear,False,-1,13,True,0.994257390499115,0.8693385124206543
visa,pipe_fryum,spalwinnn,bilinear,False,-1,13,True,0.9911999702453613,0.9475376605987549
visa,candle,spalwinnn,bilinear,False,-1,15,True,0.8715999126434326,0.9511387944221497
visa,capsules,spalwinnn,bilinear,False,-1,15,True,0.7529166340827942,0.8428258299827576
visa,cashew,spalwinnn,bilinear,False,-1,15,True,0.9344000220298767,0.8395913243293762
visa,chewinggum,spalwinnn,bilinear,False,-1,15,True,0.9709999561309814,0.6872228384017944
visa,fryum,spalwinnn,bilinear,False,-1,15,True,0.9521999955177307,0.8660639524459839
visa,macaroni1,spalwinnn,bilinear,False,-1,15,True,0.9447000026702881,0.9349977970123291
visa,macaroni2,spalwinnn,bilinear,False,-1,15,True,0.8730000257492065,0.9118391871452332
visa,pcb1,spalwinnn,bilinear,False,-1,15,True,0.9527000784873962,0.9039201140403748
visa,pcb2,spalwinnn,bilinear,False,-1,15,True,0.9321999549865723,0.9072372317314148
visa,pcb3,spalwinnn,bilinear,False,-1,15,True,0.9497029185295105,0.8879282474517822
visa,pcb4,spalwinnn,bilinear,False,-1,15,True,0.9957424402236938,0.8724612593650818
visa,pipe_fryum,spalwinnn,bilinear,False,-1,15,True,0.9938000440597534,0.9480736255645752
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,3,True,0.9928571581840515,0.9493368864059448
mvtec_ad,cable,spalwinnn,bilinear,False,-1,3,True,0.7822338938713074,0.8658202886581421
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,3,True,0.9357798099517822,0.9416947960853577
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,3,True,0.9490369558334351,0.9465785622596741
mvtec_ad,grid,spalwinnn,bilinear,False,-1,3,True,0.883876383304596,0.8968814015388489
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,3,True,0.987500011920929,0.9513013362884521
mvtec_ad,leather,spalwinnn,bilinear,False,-1,3,True,0.9874321222305298,0.9779790043830872
mvtec_ad,metal_nut,spalwinnn,bilinear,False,-1,3,True,0.9848484992980957,0.9398756623268127
mvtec_ad,pill,spalwinnn,bilinear,False,-1,3,True,0.8524277210235596,0.9514011144638062
mvtec_ad,screw,spalwinnn,bilinear,False,-1,3,True,0.942406177520752,0.9685121178627014
mvtec_ad,tile,spalwinnn,bilinear,False,-1,3,True,0.914862871170044,0.7424864768981934
mvtec_ad,toothbrush,spalwinnn,bilinear,False,-1,3,True,0.9416666626930237,0.9391608238220215
mvtec_ad,transistor,spalwinnn,bilinear,False,-1,3,True,0.9445833563804626,0.9251846075057983
mvtec_ad,wood,spalwinnn,bilinear,False,-1,3,True,0.9815790057182312,0.9051986932754517
mvtec_ad,zipper,spalwinnn,bilinear,False,-1,3,True,0.8521533608436584,0.9420698285102844
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,7,True,0.995238184928894,0.9493192434310913
mvtec_ad,cable,spalwinnn,bilinear,False,-1,7,True,0.8090329766273499,0.8704310059547424
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,7,True,0.9824491143226624,0.9441501498222351
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,7,True,0.9446227550506592,0.9406100511550903
mvtec_ad,grid,spalwinnn,bilinear,False,-1,7,True,0.8680033683776855,0.9051410555839539
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,7,True,0.9932142496109009,0.9541492462158203
mvtec_ad,leather,spalwinnn,bilinear,False,-1,7,True,0.993546187877655,0.9775804877281189
mvtec_ad,metal_nut,spalwinnn,bilinear,False,-1,7,True,0.9868035316467285,0.9425292015075684
mvtec_ad,pill,spalwinnn,bilinear,False,-1,7,True,0.8720676302909851,0.952836275100708
mvtec_ad,screw,spalwinnn,bilinear,False,-1,7,True,0.9776593446731567,0.9675979018211365
mvtec_ad,tile,spalwinnn,bilinear,False,-1,7,True,0.9058441519737244,0.7317273020744324
mvtec_ad,toothbrush,spalwinnn,bilinear,False,-1,7,True,0.9277778267860413,0.9388713240623474
mvtec_ad,transistor,spalwinnn,bilinear,False,-1,7,True,0.9333333969116211,0.9233978986740112
mvtec_ad,wood,spalwinnn,bilinear,False,-1,7,True,0.9824560880661011,0.9025905132293701
mvtec_ad,zipper,spalwinnn,bilinear,False,-1,7,True,0.8763130903244019,0.9423408508300781
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,9,True,0.9952380657196045,0.9493466019630432
mvtec_ad,cable,spalwinnn,bilinear,False,-1,9,True,0.8097825646400452,0.871234118938446
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,9,True,0.9824491143226624,0.9444940686225891
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,9,True,0.9418138265609741,0.9389148354530334
mvtec_ad,grid,spalwinnn,bilinear,False,-1,9,True,0.854636549949646,0.9063025712966919
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,9,True,0.9953571557998657,0.9551271796226501
mvtec_ad,leather,spalwinnn,bilinear,False,-1,9,True,0.993546187877655,0.9774271845817566
mvtec_ad,metal_nut,spalwinnn,bilinear,False,-1,9,True,0.9897361397743225,0.9436354041099548
mvtec_ad,pill,spalwinnn,bilinear,False,-1,9,True,0.8696127533912659,0.9530183672904968
mvtec_ad,screw,spalwinnn,bilinear,False,-1,9,True,0.9764295816421509,0.9671335220336914
mvtec_ad,tile,spalwinnn,bilinear,False,-1,9,True,0.8986291885375977,0.726884663105011
mvtec_ad,toothbrush,spalwinnn,bilinear,False,-1,9,True,0.9277777671813965,0.938904345035553
mvtec_ad,transistor,spalwinnn,bilinear,False,-1,9,True,0.9337500333786011,0.9213101863861084
mvtec_ad,wood,spalwinnn,bilinear,False,-1,9,True,0.9815789461135864,0.9018266201019287
