dataset,category,model,run,latency
visa,pcb2,padim,6,0.11835007190704346
visa,pcb2,padim,7,0.1191401195526123
visa,pcb2,padim,8,0.11741512894630432
visa,pcb2,padim,9,0.11715905904769898
visa,pcb2,padim,10,0.11843659400939942
visa,pcb2,padim,11,0.1204213571548462
visa,pcb2,padim,12,0.1180988895893097
visa,pcb2,padim,13,0.11885499238967895
visa,pcb2,padim,14,0.11853100895881653
visa,pcb2,padim,15,0.14026254177093506
visa,pcb2,padim,16,0.11525779008865357
visa,pcb2,padim,17,0.11681280970573425
visa,pcb2,padim,18,0.11656897425651551
visa,pcb2,padim,19,0.11615434527397156
visa,pcb3,padim,0,0.11107129125452753
visa,pcb3,padim,1,0.10868114737135853
visa,pcb3,padim,2,0.10917039178497162
visa,pcb3,padim,3,0.10838092500297584
visa,pcb3,padim,4,0.10788048915009
visa,pcb3,padim,5,0.10948195979369814
visa,pcb3,padim,6,0.1700399052444382
visa,pcb3,padim,7,0.10913645450155533
visa,pcb3,padim,8,0.10867538736827338
visa,pcb3,padim,9,0.10888491578363067
visa,pcb3,padim,10,0.11001106992882875
visa,pcb3,padim,11,0.10866400139841867
visa,pcb3,padim,12,0.10902029009007697
visa,pcb3,padim,13,0.10958696597844214
visa,pcb3,padim,14,0.10831044443804233
visa,pcb3,padim,15,0.10864488521025549
visa,pcb3,padim,16,0.10972355254253938
visa,pcb3,padim,17,0.1084160104912905
visa,pcb3,padim,18,0.11122690504463158
visa,pcb3,padim,19,0.11035247584480551
visa,pcb4,padim,0,0.11826811263810343
visa,pcb4,padim,1,0.11819937335911082
visa,pcb4,padim,2,0.11797898207137834
visa,pcb4,padim,3,0.11656008668206817
visa,pcb4,padim,4,0.11549985942555897
visa,pcb4,padim,5,0.11867636353222293
visa,pcb4,padim,6,0.11876368048179209
visa,pcb4,padim,7,0.11750114260621332
visa,pcb4,padim,8,0.11648623385832678
visa,pcb4,padim,9,0.11737921937781187
visa,pcb4,padim,10,0.1174018786321232
visa,pcb4,padim,11,0.11718675864869682
visa,pcb4,padim,12,0.11720617849435379
visa,pcb4,padim,13,0.1167768649200895
visa,pcb4,padim,14,0.1202713743371157
visa,pcb4,padim,15,0.11728524924510747
visa,pcb4,padim,16,0.11712346266751265
visa,pcb4,padim,17,0.11958265897646472
visa,pcb4,padim,18,0.11668536912149458
visa,pcb4,padim,19,0.11878841314742815
visa,pipe_fryum,padim,0,0.12285493532816569
visa,pipe_fryum,padim,1,0.12628599961598713
visa,pipe_fryum,padim,2,0.12227714379628499
visa,pipe_fryum,padim,3,0.12241073449452718
visa,pipe_fryum,padim,4,0.12111849149068196
visa,pipe_fryum,padim,5,0.12230253219604492
visa,pipe_fryum,padim,6,0.11964612483978271
visa,pipe_fryum,padim,7,0.1291002909342448
visa,pipe_fryum,padim,8,0.11919650713602702
visa,pipe_fryum,padim,9,0.12076598485310873
visa,pipe_fryum,padim,10,0.12046204090118408
visa,pipe_fryum,padim,11,0.11843098799387614
visa,pipe_fryum,padim,12,0.12221192518870036
visa,pipe_fryum,padim,13,0.1206472635269165
visa,pipe_fryum,padim,14,0.12009965419769288
visa,pipe_fryum,padim,15,0.1208714469273885
visa,pipe_fryum,padim,16,0.11854133129119873
visa,pipe_fryum,padim,17,0.12080769379933676
visa,pipe_fryum,padim,18,0.11836489200592042
visa,pipe_fryum,padim,19,0.12185332775115967
mvtec_ad,bottle,lwinnn,0,0.21493541476238204
mvtec_ad,bottle,lwinnn,1,0.21673900535307736
mvtec_ad,bottle,lwinnn,2,0.21366052742463998
mvtec_ad,bottle,lwinnn,3,0.21755095562302923
mvtec_ad,bottle,lwinnn,4,0.21752636978425174
mvtec_ad,bottle,lwinnn,5,0.2156095476035612
mvtec_ad,bottle,lwinnn,6,0.21582553760114923
mvtec_ad,bottle,lwinnn,7,0.2150482298379921
mvtec_ad,bottle,lwinnn,8,0.211855351206768
mvtec_ad,bottle,lwinnn,9,0.21424520446593504
mvtec_ad,bottle,lwinnn,10,0.22183890515063182
mvtec_ad,bottle,lwinnn,11,0.2217536690723465
mvtec_ad,bottle,lwinnn,12,0.2174640305070992
mvtec_ad,bottle,lwinnn,13,0.21725794493433942
mvtec_ad,bottle,lwinnn,14,0.21690284774964114
mvtec_ad,bottle,lwinnn,15,0.21192848251526614
mvtec_ad,bottle,lwinnn,16,0.2157142133597868
mvtec_ad,bottle,lwinnn,17,0.2165959340980254
mvtec_ad,bottle,lwinnn,18,0.21419625109936818
mvtec_ad,bottle,lwinnn,19,0.2144787139203175
mvtec_ad,cable,lwinnn,0,0.2293089771270752
mvtec_ad,cable,lwinnn,1,0.2277631982167562
mvtec_ad,cable,lwinnn,2,0.22798466046651206
mvtec_ad,cable,lwinnn,3,0.3165744129816691
mvtec_ad,cable,lwinnn,4,0.23802440325419108
mvtec_ad,cable,lwinnn,5,0.23147600650787353
